 ,13591
e,12702
t,9056
a,8167
o,7507
i,6966
n,6749
s,6327
h,6094
r,5987
d,4253
l,4025
c,2782
u,2758
m,2406
w,2360
f,2228
g,2015
y,1974
p,1929
b,1492
v,978
k,772
j,153
x,150
q,95
z,74
 ,371
a,258
b,41
c,76
d,115
e,402
f,59
g,64
h,161
i,221
j,5
k,21
l,127
m,66
n,185
o,204
p,61
q,3
r,190
s,199
t,247
u,88
v,31
w,74
x,4
y,54
z,3
 ,3814
a,2501
b,419
c,781
d,1193
e,3895
f,624
g,618
h,1707
i,2135
j,47
k,217
l,1233
m,675
n,1894
o,2106
p,591
q,30
r,1835
s,1938
t,2541
u,846
v,300
w,723
x,42
y,554
z,21
e,38630
 ,38419
t,25600
a,24837
o,21218
i,21185
s,19242
n,19078
r,18208
h,17225
l,12241
d,12023
u,8388
c,7864
w,7176
m,6802
f,6298
g,6128
p,5867
y,5580
b,4218
v,2975
k,2183
j,466
x,424
q,289
z,210
e,385579
 ,384898
t,256467
a,247913
o,212599
i,211459
s,192057
n,191132
r,181740
h,172582
l,122181
d,120445
u,83721
c,78787
w,71639
m,68138
f,63097
g,61167
p,58556
y,55903
b,42254
v,29688
k,21863
j,4645
x,4248
q,2884
z,2096
e,3857436
 ,3847358
t,2563582
a,2480208
o,2125091
i,2115485
s,1921424
n,1910514
r,1818175
h,1725097
l,1222339
d,1203943
u,837570
c,787532
w,716700
m,681094
f,630705
g,611930
p,585812
y,558802
b,422358
v,297006
k,218539
j,46465
x,42463
q,28851
z,20948
 ,3982016
a,2393401
b,437141
c,815096
d,1246081
e,3722426
f,652780
g,590512
h,1785475
i,2041443
j,44839
k,226188
l,1179557
m,704932
n,1977382
o,2199469
p,565309
q,27841
r,1754539
s,1854174
t,2653307
u,808255
v,286611
w,691616
x,43949
y,578360
z,21681
 ,384159
a,248400
b,42173
c,78635
d,120214
e,386334
f,62975
g,61287
h,172251
i,211872
j,4654
k,21821
l,122421
m,68007
n,190764
o,212190
p,58671
q,2890
r,182095
s,192436
t,255974
u,83885
v,29746
w,71780
x,4240
y,55797
z,2092
