flows,packets,bytes
138271,2049416,1479457446
142877,2326958,1791145629
127360,2195308,1693468336
125720,2338585,1779810923
131167,2159985,1622075921
117751,1761575,1286832014
116999,1667769,1210427974
147882,1977361,1456593208
118113,1832653,1346663404
125647,2113825,1631783081
127523,2172631,1641836785
125074,1912411,1360677801
141861,1932740,1391842843
145196,2101148,1514954406
134414,2424598,1907771377
124977,2256189,1744062501
130968,2433240,1918304295
127822,1935573,1401371632
121107,1821774,1324180132
117649,1902608,1419125090
124688,1504019,1023178173
123548,1600010,1072636278
114833,1709342,1156785114
120144,2032858,1491784144
119870,1850212,1342517757
119228,1789098,1275398082
120109,1779026,1319840011
114563,1505894,1029754023
122216,1300430,809837293
116642,1502723,981551722
111127,1625821,1161289163
114209,1584186,1126824040
128164,1685327,1186046167
119999,1568151,1109458097
123576,1520133,1026251533
128496,1872173,1359651541
130303,1732974,1253463483
134117,1843830,1290768121
135766,2000123,1596704047
127567,1591539,1039782713
128155,1592934,1082049990
121354,1910767,1411289984
129441,1631218,1172439834
109258,1795664,1347024799
108325,1374733,925209261
121594,1520395,999359380
116341,1681734,1203102298
113248,1552837,1078300310
130232,1711321,1215269425
120797,1727169,1201082367
110144,1616907,1205046138
134294,1705941,1179338781
118390,1651435,1183201401
122324,1499928,1065661039
120087,1407642,959320663
113794,1334075,953962033
114217,1330927,927068666
114493,1461708,1049305402
119355,1321883,909482809
115330,1223465,819740502
128166,1404813,968676259
125902,1643981,1201633260
123017,1754436,1299932611
129559,1432379,997361419
133852,1353797,904208287
152314,2203354,1641919812
94603,912007,584298955
123143,1270509,836786052
124777,1312654,867679413
129244,1353102,925383946
134524,1477573,1021292094
126993,1483754,1035080532
151908,1437560,964858876
141857,1385248,927441507
138316,1803844,1264125467
134026,1724036,1146391272
143987,1524895,1008961898
144215,1531769,1061562737
133346,1592174,1114653777
136237,1993403,1451576841
140089,1740767,1161974972
140949,1810204,1294545729
144504,1711693,1115905226
148784,2226961,1620479862
157902,1948434,1322080539
157120,2002100,1376231386
168012,2612624,1942701666
165560,2961080,2226770010
177006,2587519,1873741884
184204,2815276,2041731544
188380,3217790,2428423317
186084,2975237,2111394996
199201,3583752,2723353966
205367,3963894,3107705485
219404,3990577,2971651827
240404,4682355,3535863421
271294,5561421,4247338456
304796,6748100,902819994
340456,7031255,1002801581
366070,7372398,1143249780
417069,8617880,2130400495
455244,9675237,3054975150
500422,11653989,226688994
557489,13214389,1386982052
583302,14814122,2490401187
624495,15462126,3019496905
662429,16219250,3620732531
707897,17547264,193367295
739867,18541471,624081406
794256,21073283,2112659031
855091,21659601,2818165382
1141114,27963187,3450652710
1014927,25042642,1256989376
1070527,26119960,1833809276
1301529,30423904,1324959995
1009494,25314052,1478167989
1311064,29834535,736194095
1023693,25929118,2068328004
1057877,26300448,2160266819
1255362,29584492,637847260
1056076,26485140,2128423861
1049115,25720327,1490658699
1289982,30231215,952108574
1027741,26221967,1628305873
1016005,25239664,672321720
1287961,29430158,4276177043
1027948,25102394,856475289
1064585,25710311,1633559406
1217293,29950339,999762871
1039007,26772089,2748792579
1101465,28818626,342115394
1420931,29737377,701311224
1230182,30899274,1062569171
1112444,26054808,1808584264
1115489,25037815,621252415
1242353,27982421,3303216708
1292026,29005467,3697603874
1292533,29706503,235281420
1307896,30116737,515406353
